animal,type [1],mouse [2],lineage [3],DOB [4],date [5],age [6],weight [7],description [8],recordingBatch [9],rec. computer[10],recording folder [11],recordings [12],comment [13],,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSI1sec_000,1; file_00002,3.tif",Jorge PowerSupply .0846 gain,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSI1sec_002,3; file_00004,5.tif","Hamamatsu PowerSupply, 0.849 gain",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSI1sec_004,5; file_00006,7.tif","Arduino based PowerSupply, 0.848 gain",,,,,,,,,,,,
201008_t00,PMT power-supply test,test,test,201008,201008,0,,test of different PMT power supplies,,2photonPC,2020.10.08_001,"locomotionTriggerSI1sec_000,1; test_00001,2.tif","Jorge PowerSupply .0844 gain, !! laser power was down !!",,,,,,,,,,,,
,,,,,,,,,,,,locomotionTriggerSI1sec_002; test_00003.tif,Jorge PowerSupply .0850 gain,,,,,,,,,,,,
,,,,,,,,,,,,locomotionTriggerSI1sec_003; test_00004.tif,Hamamatsu PowerSupply .0850 gain,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSI1sec_004,5; test_00005,6.tif",Arduino PowerSupply .0852 gain ; recording 4 is with little less laser power,,,,,,,,,,,,
200622_f60,GCaMP6f-Tigre,female #60,P6F-Tigre / Pv-Cre,200622,201008,109,,Chronic window & headplate surgery,,,,,surgery went well,,,,,,,,,,,,
,,,,,201014,115,,Habituation 1 ,,,,,"11:30 am : 1. Hab session, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"5:30 pm : 5 min free walking, 20 min head-fixed ",,,,,,,,,,,,
,,,,,201015,116,,Habituation 3,,,,,10:30 a.m : 30 min head-fixed motorized  ,,,,,,,,,,,,
